Operating_Income,OCF,Revenue,Total_Assets,Total_Equity,Date,Net_Income,Ticker,Retained_Earnings,CapEx,EBIT,COGS,Working_Capital
3354000000.0,2602000000.0,23155000000.0,197772000000.0,100622000000.0,2024-06-30,2621000000.0,DIS,49273000000.0,-1365000000.0,3602000000.0,14709000000.0,-10119000000.0
3354000000.0,2602000000.0,23155000000.0,197772000000.0,100622000000.0,2024-03-31,2621000000.0,DIS,49273000000.0,-1365000000.0,3602000000.0,14709000000.0,-10119000000.0
31271000000.0,27747000000.0,96428000000.0,502053000000.0,362916000000.0,2025-06-30,28196000000.0,GOOGL,275760000000.0,-22446000000.0,34194000000.0,39039000000.0,78906000000.0
30606000000.0,36150000000.0,90234000000.0,475374000000.0,345267000000.0,2025-03-31,34540000000.0,GOOGL,262628000000.0,-17197000000.0,41823000000.0,36361000000.0,70398000000.0
30972000000.0,39113000000.0,96469000000.0,450256000000.0,325084000000.0,2024-12-31,26536000000.0,GOOGL,245084000000.0,-14276000000.0,32296000000.0,40613000000.0,74589000000.0
28521000000.0,30698000000.0,88268000000.0,430266000000.0,314119000000.0,2024-09-30,26301000000.0,GOOGL,235317000000.0,-13061000000.0,31760000000.0,36474000000.0,76738000000.0
27425000000.0,26640000000.0,84742000000.0,414770000000.0,300753000000.0,2024-06-30,23619000000.0,GOOGL,226033000000.0,-13186000000.0,27618000000.0,35507000000.0,84082000000.0
27425000000.0,26640000000.0,84742000000.0,414770000000.0,300753000000.0,2024-03-31,23619000000.0,GOOGL,226033000000.0,-13186000000.0,27618000000.0,35507000000.0,84082000000.0
6555000000.0,4643000000.0,45277000000.0,100049000000.0,10665000000.0,2025-07-31,4551000000.0,HD,92943000000.0,-917000000.0,6580000000.0,30152000000.0,4545000000.0
5133000000.0,4325000000.0,39856000000.0,99157000000.0,7955000000.0,2025-04-30,3433000000.0,HD,90680000000.0,-806000000.0,5157000000.0,26397000000.0,2940000000.0
4495000000.0,4671000000.0,39704000000.0,96119000000.0,6640000000.0,2025-01-31,2997000000.0,HD,89533000000.0,-1101000000.0,4525000000.0,26670000000.0,3022000000.0
5418000000.0,4233000000.0,40217000000.0,97264000000.0,5786000000.0,2024-10-31,3648000000.0,HD,88771000000.0,-818000000.0,5448000000.0,26792000000.0,3857000000.0
